AUT	BEL	DEU	ESP	FIN	FRA	GRC	IRL	ITA	LUX	NLD	PRT
3,4653077126	3,7641439438	39,4347648621	13,0816764832	2,4719221592	23,2509098053	4,0177531242	1,1386377811	22,2750988007	0,1737999022	6,4180035591	4,2750973701
3,5094506741	3,8095719814	39,6751365662	13,5267858505	2,4953796864	23,5643291473	4,0328307152	1,1419404745	22,4283390045	0,180541575	6,5930914879	4,3662104607
3,5536961555	3,8484444618	39,4175224304	14,0215187073	2,4806363583	23,7707386017	4,072286129	1,1941876411	22,7878055573	0,1875209212	6,7924365997	4,4649372101
3,5760698318	3,8605952263	38,5472679138	14,1842432022	2,3387434483	23,8083515167	3,986866951	1,1850523949	23,2226276398	0,1951973289	6,9178137779	4,608335495
3,5749740601	3,8548345566	38,0351409912	13,9939365387	2,1733491421	23,6341972351	4,0047121048	1,1842113733	22,9886550903	0,2004101276	7,0155391693	4,6615123749
3,5504846573	3,830452919	37,5734977722	13,6093263626	2,0447342396	23,3724632263	4,0716862679	1,2008315325	22,3150482178	0,2039436549	7,0497179031	4,568444252
3,5573534966	3,8147630692	37,7017211914	13,5631694794	2,0178804398	23,4865436554	4,1586647034	1,239487648	21,9134216309	0,2094105333	7,0990834236	4,5570402145
3,5552840233	3,8754615784	37,9390335083	13,8444471359	2,0550169945	23,7171955109	4,2293171883	1,2963027954	21,8329658508	0,2148807943	7,2709560394	4,5347790718
3,575496912	3,8855435848	37,9597740173	14,0654697418	2,0853233337	23,8422832489	4,2297568321	1,3448184729	21,9121799469	0,2203664482	7,4347743988	4,6140193939
3,6042587757	3,9103555679	37,9390220642	14,6025876999	2,1571640968	24,0182704926	4,2323660851	1,4149317741	21,929977417	0,2274367809	7,6702160835	4,7270607948
3,6404075623	3,9780364037	38,4006843567	15,2489118576	2,1972632408	24,4286556244	4,4358448982	1,5309171677	22,1091461182	0,2378285825	7,8477916718	4,8455305099
