AUT	BEL	DEU	ESP	FIN	FRA	GRC	IRL	ITA	LUX	NLD	PRT
0,7480435371	0,9772638679	0,7152574658	0,9310714006	0,7393842936	0,9901657701	0,6301990151	0,8143642545	0,9880876541	0,9810010791	0,981130302	0,7357444763
0,7740080953	1,0234932899	0,7323539853	0,940336287	0,7605133057	1,0045573711	0,6409609914	0,8188204169	0,9841418862	1,027312398	0,9871650338	0,7434439063
0,788485527	1,0295763016	0,7516846061	0,9481454492	0,761502564	1,0174096823	0,645745039	0,8496248126	0,9880791306	1,1096355915	0,9907701015	0,739708364
0,7967777848	1,0175168514	0,7890504599	0,9312754869	0,7398719788	1,0122153759	0,6190457344	0,8366131783	0,9831314683	1,0932537317	0,9935696125	0,7069398761
0,8197843432	1,0415555239	0,8480521441	0,9438607693	0,6983168721	1,013743639	0,6516848207	0,8562170267	0,9827769399	1,188523531	1,0005652905	0,7442063689
0,8175985217	1,0609264374	0,8343300819	0,9180612564	0,6941527724	0,9940208197	0,6189597249	0,8539861441	0,9486601353	1,142786622	0,9783167839	0,7159294486
0,8158367872	1,0539004803	0,8396337032	0,9213327169	0,6947132945	0,9882990718	0,6037970185	0,8752403855	0,9345936775	1,1508574486	0,9849780798	0,7107697725
0,831573844	1,0677442551	0,85143888	0,9286168218	0,7162595987	0,992351532	0,6019792557	0,8825883269	0,9362251759	1,185516119	0,9879813194	0,7191027403
0,8523899913	1,0552046299	0,8636223078	0,9332447052	0,768147707	1,0033659935	0,5972142816	0,9333979487	0,9371914864	1,1295311451	0,9865918756	0,7008965611
0,8260705471	1,0264601707	0,8565999866	0,9222929478	0,7496917248	0,9922197461	0,5968946815	0,9339367151	0,9167036414	1,1111214161	0,9660317302	0,6811977029
0,8547645211	1,0755032301	0,8839653134	0,9506291747	0,8070572615	1,0418971777	0,640724957	1,0324562788	0,9430787563	1,1589432955	1,0176277161	0,7083470821
0,889185667	1,0931149721	0,9072108865	0,9701279402	0,8635544181	1,0912009478	0,642080009	1,1090933084	0,969943583	1,2594732046	1,0461417437	0,7103016376
0,902189374	1,1061497927	0,9248370528	0,9612586498	0,8786022067	1,1099207401	0,6490385532	1,1300789118	0,9809153676	1,3279474974	1,0860673189	0,7251195312
0,9298089743	1,1356014013	0,9294711947	0,9706891179	0,9047855735	1,1562930346	0,664565742	1,2167847157	0,9908881187	1,3875535727	1,1679159403	0,7251684666
0,9121450782	1,1118761301	0,9523624182	0,9890723228	0,9102107286	1,182451725	0,7089551687	1,2596927881	1,0094814301	1,2454081774	1,1672297716	0,7300379276
0,9341982603	1,1518336535	0,957988143	0,9914414287	0,9147325754	1,1984032393	0,729123354	1,364734292	0,9621079564	1,2145847082	1,1604294777	0,7184512019
0,906147182	1,1018843651	0,9501039386	0,9293702841	0,889883697	1,1227687597	0,6916425824	1,3806035519	0,9230307937	1,1139819622	1,1041953564	0,6903257966
0,901863575	1,0639363527	0,9456223845	0,8854372501	0,8916222453	1,0567575693	0,679739058	1,3323835135	0,8879261613	1,0175564289	1,0786516666	0,6594750285
0,9083433151	1,0404052734	0,9672102928	0,8786418438	0,8767587543	1,0459212065	0,6433231235	1,3399461508	0,8666578531	0,9761760235	1,1149902344	0,6939935684
0,9134172797	0,9889982939	0,9696582556	0,8596763015	0,8716769814	1,030000329	0,6460511684	1,2089931965	0,8516189456	0,9633917809	1,1052696705	0,6956019402
0,9083890319	0,9634946585	0,9790897369	0,8441762924	0,9005599618	1,0189939737	0,6328427792	1,1645895243	0,8506031036	0,9752358198	1,1059967279	0,6922436953
0,8814198971	0,9450569153	0,9613689184	0,8345347643	0,8682386875	0,9928325415	0,6382064223	1,0876563787	0,837920785	0,8539083004	1,0766272545	0,6661096811
0,8485181332	0,9406447411	0,9180038571	0,8377500772	0,8038657308	0,9773695469	0,6283367276	1,1299213171	0,7968563437	0,8334235549	1,0207018852	0,6699525714
0,8186240196	0,907222867	0,9116377831	0,7953700423	0,7863927484	0,9441407919	0,6048455834	1,0557807684	0,7956082225	0,8406875134	0,9299852252	0,6457849741
0,8023353219	0,8743059039	0,9220271111	0,78155756	0,7743702531	0,9373148084	0,5513931513	1,0590335131	0,7680612803	0,7300035357	0,9124798179	0,6401468515
0,7981700897	0,8633829951	0,9071311951	0,7883768678	0,76529634	0,939176321	0,5307924151	1,0456149578	0,7423031926	0,7529934645	0,9262298942	0,6588720679
0,7977455258	0,8724337816	0,9238584042	0,8087548018	0,7552762628	0,9606276751	0,5393158793	1,0265227556	0,7469707131	0,7546643615	0,97299546	0,6605198383
0,8155820966	0,8633104563	0,9304814339	0,8115562797	0,7661249638	0,9527481198	0,5344353318	1,0498044491	0,7449503541	0,8415090442	0,9565379024	0,6570201516
